country,iso_code,year,population,gdp,fossil_fuel_consumption,renewables_consumption,fossil_share_energy,renewables_share_energy,energy_per_capita,energy_cons_change_twh,energy_cons_change_pct,electricity_generation,total_energy_demand,pop_growth_rate,renew_fossil_ratio
Finland,FIN,1991,5013842,126220140544,220.412,52.282,67.427,15.994,65968.953,7.509,2.323,57.96,272.694,0.5477155456800621,0.2372012413117253
France,FRA,1991,57271510,1654070181888,1716.954,166.576,61.234,5.941,49486.664,184.353,6.957,450.34,1883.53,0.4936358691652629,0.09701832431154242
Germany,DEU,1991,80303142,2141316317184,3620.403,49.03,88.76,1.202,50940.008,-101.999,-2.433,536.02,3669.433,0.7467627461278531,0.013542691241831366
Greece,GRC,1991,10306590,167630716928,282.313,8.614,97.039,2.961,28281.158,4.17,1.451,35.19,290.92699999999996,0.4693794055801277,0.03051223287627563
High-income countries,NA,1991,1196235282,NA,57293.16,4139.328,85.555,6.181,56284.098,207.031,0.308,9207.629,61432.488000000005,0.6972683682385744,0.0722482055449551
Hong Kong,HKG,1991,5628035,166388678656,144.389,0,100,0,25655.387,5.032,3.611,31.889,144.389,1.2134569180082582,0
Hungary,HUN,1991,10378132,95825223680,262.303,0.614,87.131,0.204,29090.133,-21.354,-6.606,29.96,262.917,-0.029851951083643167,0.002340804336969078
Iceland,ISL,1991,257764,7288590336,8.148,12.373,39.705,60.295,82197.977,-0.5,-2.307,4.425,20.521,1.1668387030939082,1.5185321551300932
India,IND,1991,883927551,1768493547520,2193.087,205.941,90.846,8.531,2746.45,126.962,5.518,320.458,2399.028,2.191444032239789,0.09390461937898496
Indonesia,IDN,1991,186778184,786440060928,628.045,23.867,96.339,3.661,3495.796,52.76,8.791,38.103,651.9119999999999,1.7858933134938828,0.03800205399294637
Iran,IRN,1991,59986887,376283103232,863.649,15.575,98.229,1.771,14673.686,68.946,8.498,62.814,879.224,2.7523804965826852,0.01803394666120148
Iraq,IRQ,1991,17767202,26538332160,143.673,5.959,96.018,3.982,8443.418,-87.687,-36.889,13.359,149.632,1.0581895620084225,0.041476129822583224
Ireland,IRL,1991,3534214,67931955200,120.256,2.072,98.306,1.694,34650.32,4.575,3.881,14.91,122.328,0.5761291576562001,0.0172299095263438
Israel,ISR,1991,4779837,97235345408,131.26,0.017,99.987,0.013,27464.873,2.142,1.659,21.514,131.277,5.168110797282874,1.2951394179491088e-4
Italy,ITA,1991,57075339,1509175721984,1956.412,127.64,93.875,6.125,36630.816,-61.513,-2.858,218.43,2084.052,0.07702948522680696,0.06524188156686833
Japan,JPN,1991,123889808,3824677552128,4455.584,298.678,83.532,5.6,43292.566,179.223,3.457,911.303,4754.262,0.39715731276758115,0.06703453464237236
Kazakhstan,KAZ,1991,17278551,174429519872,835.717,20,97.492,2.333,49688.043,-0.888,-0.103,85.99,855.717,0.7259874729035739,0.023931546205234546
Kuwait,KWT,1991,1351363,5968350720,46.121,0,100,0,34129.023,-45.372,-49.591,10.78,46.121,-19.79013333459957,0
Latvia,LVA,1991,2648888,36517761024,69.994,9.097,88.498,11.502,30079.709,-6.933,-8.004,5.65,79.091,-0.4208140952045839,0.12996828299568533
Lithuania,LTU,1991,3701357,47786758144,157.321,0.939,76.562,0.457,55806.121,10.493,5.352,29.37,158.26,0.17293794504795307,0.0059686882234412444
Lower-middle-income countries,NA,1991,1752606107,NA,3705.174,365.248,90.666,8.938,2343.772,139.391,3.513,523.83,4070.422,2.3801212126290414,0.09857782657440649
Luxembourg,LUX,1991,386773,15215995904,39.636,0.277,99.306,0.694,103235.586,2.777,7.476,0.7,39.913000000000004,1.338080939879371,0.006988596225653446
Malaysia,MYS,1991,18342429,157808066560,289.353,12.359,95.904,4.096,16492.357,60.962,25.238,26.552,301.712,2.855949411892162,0.042712534516663035
Mexico,MEX,1991,84430515,865148731392,1262.041,81.083,93.146,5.984,16080.441,38.608,2.927,128.571,1343.124,1.944431773075856,0.0642475165228388
Morocco,MAR,1991,24798965,109740064768,80.179,3.406,95.926,4.074,3379.327,1.048,1.266,9.205,83.58500000000001,1.7372232816645299,0.04247995110939273
Netherlands,NLD,1991,15155049,423942324224,915.655,2.877,98.693,0.31,61237.898,17.329,1.903,73.22,918.5319999999999,0.8263744177137695,0.0031420130944515125
New Zealand,NZL,1991,3480888,74961223680,113.329,73.351,60.707,39.293,54637.574,3.752,2.013,33.639,186.68,2.4715243048727498,0.6472394532732134
North Macedonia,MKD,1991,2055937,16091739136,26.94,2.356,91.959,8.041,14323.116,-0.212,-0.715,5.77,29.296,-0.3735138553384909,0.08745360059391238
Norway,NOR,1991,4261568,132697595904,130.275,306.581,29.821,70.179,107145.32,-36.316,-7.367,110.56,436.856,0.47588240065035375,2.3533371713682594
Oman,OMN,1991,1851429,20523448320,60.838,0,100,0,32859.906,14.218,30.498,4.625,60.838,4.9611716644424515,0
Pakistan,PAK,1991,120060354,311483367424,268.447,50.786,83.785,15.851,2696.15,18.203,5.958,50.22,319.233,3.361720272810085,0.18918445726717006
Peru,PER,1991,22483739,108468600832,71.743,32.338,68.93,31.07,4721.159,-0.868,-0.811,14.482,104.08099999999999,2.1304605045241543,0.4507478081485302
Philippines,PHL,1991,64382194,228436344832,152.787,32.285,82.555,17.445,2863.201,-3.15,-1.68,25.649,185.072,2.430340315674205,0.21130724472631832
Poland,POL,1991,38152898,291288809472,1179.685,4.218,99.644,0.356,31037.33,-26.166,-2.162,132.72,1183.903,0.2561896334092262,0.003575530756091669
Portugal,PRT,1991,9969142,177606541312,181.151,27.663,86.752,13.248,21113.898,7.835,3.866,29.72,208.81400000000002,-0.20354423030239324,0.1527068578147512
Qatar,QAT,1991,454807,5733970432,90.813,0,100,0,199673.312,11.975,15.19,4.669,90.813,3.33399222507742,0
Romania,ROU,1991,22947368,114884263936,581.308,40.522,93.483,6.517,27212.02,-110.771,-15.066,56.8,621.83,0.0343817717584805,0.06970831297694165
Russia,RUS,1991,149448388,1782589423616,9100.938,467.131,91.916,4.718,66502.172,-137.461,-1.364,1068.163,9568.069,0.31474198860679387,0.05132778621280575
Saudi Arabia,SAU,1991,11160699,279266361344,972.452,0,100,0,87131.844,44.115,4.752,84.996,972.452,4.88728142803172,0
Singapore,SGP,1991,3136244,74103365632,277.533,0.766,99.725,0.275,88741.484,5.211,1.908,16.597,278.29900000000004,3.1813982623709345,0.0027600321403220517
Slovakia,SVK,1991,5284824,55297376256,184.857,3.911,83.556,1.768,42042.73,-26.165,-10.536,24.26,188.768,0.3570437039571806,0.02115689424798628
Slovenia,SVN,1991,1999136,32795389952,44.552,10.022,65.201,14.667,34651.051,0.123,0.178,12.74,54.574,0.05845939474506098,0.22495061950080805
South Africa,ZAF,1991,41687861,237880803328,990.447,5.5,96.975,0.539,24521.48,-7.421,-0.721,168.316,995.947,2.3109998729697994,0.0055530482701245
South Korea,KOR,1991,44439112,651871518720,1054.841,9.686,86.395,0.793,27564.336,146.193,13.552,131.616,1064.5269999999998,0.8115263179147295,0.00918242654580169
Spain,ESP,1991,39201702,786757910528,866.347,77.538,78.883,7.06,28226.289,37.764,3.533,154.71,943.885,0.298780163932262,0.0894999347836375
Sri Lanka,LKA,1991,16475313,73808551936,20.611,8.657,70.421,29.579,1810.379,-0.06,-0.202,3.377,29.268,0.751601843593922,0.42001843675707146
Sweden,SWE,1991,8616913,237950140416,231.322,181.54,36.947,28.996,74520.336,-2.071,-0.322,146.97,412.86199999999997,0.6822085952651192,0.7847934913237824
Switzerland,CHE,1991,6796900,236201934848,179.636,90.48,53.875,27.136,50106.992,8.947,2.698,58.062,270.116,1.2479586624585906,0.5036852301320448
Taiwan,TWN,1991,20781705,345211437056,504.982,11.465,82.181,1.866,29703.508,33.058,5.658,99.178,516.447,0.9072703307340757,0.022703779540656895
Thailand,THA,1991,55637391,437871476736,377.036,12.608,96.764,3.236,7017.815,36.555,10.329,50.12,389.644,1.6425597719709215,0.03343977763396599
Trinidad and Tobago,TTO,1991,1262128,17744930816,69.309,0.078,99.887,0.113,54977.68,-0.211,-0.303,3.72,69.387,0.7959034054698992,0.001125394970350171
Turkey,TUR,1991,57009853,498030903296,505.701,63.383,88.862,11.138,10053.153,11.823,2.106,60.24,569.0840000000001,1.77501184045793,0.12533690856850194
Turkmenistan,TKM,1991,3855848,20437989376,146.22,0.008,99.994,0.006,37923.906,-14.779,-9.179,14.953,146.228,2.535295763231989,5.471207769115032e-5
Ukraine,UKR,1991,52170917,460353470464,2746.757,32.528,91.927,1.089,57399.191,-200.129,-6.264,280,2779.285,0.2245416752907181,0.011842328971947645
United Arab Emirates,ARE,1991,2006584,NA,420.837,0,100,0,209728.312,75.885,21.999,17.222,420.837,5.710832786318699,0
United Kingdom,GBR,1991,57555147,1488075358208,2345.416,14.774,91.756,0.578,44500.219,52.823,2.106,322.88,2360.19,0.32653672389852006,0.00629909576808549
United States,USA,1991,256471373,9224687976448,19683.504,1016.349,87.517,4.519,88039.922,-29.477,-0.13,3270.724,20699.853,1.2227158692708064,0.051634556530178774
Upper-middle-income countries,NA,1991,2167379560,NA,19945.17,1612.595,91.363,7.387,10119.061,432.02,2.009,2103.705,21557.765,1.6018013020752242,0.08085140412440707
Uzbekistan,UZB,1991,20962868,136577630208,494.341,16.753,96.722,3.278,24432.473,-7.506,-1.444,54.165,511.094,2.433183341698054,0.033889562063433944
Venezuela,VEN,1991,20304851,282132283392,475.931,123.728,79.367,20.633,29925.918,4.087,0.677,63.337,599.659,2.4102883325959534,0.25997045790251105
Vietnam,VNM,1991,66891732,115933544448,59.835,17.547,77.324,22.676,1173.75,1.386,1.797,9.21,77.382,2.1177612781826616,0.2932564552519428
Algeria,DZA,1992,26628518,127982690304,319.638,0.553,99.827,0.173,12025.711,8.132,2.606,18.286,320.191,2.465098072021312,0.00173008215543834
Argentina,ARG,1992,33693487,416679821312,483.16,53.643,86.826,9.64,16630.469,37.88,7.25,56.107,536.803,1.3940311668462773,0.11102533322294891
Australia,AUS,1992,17549234,478633754624,1011.107,46.409,95.611,4.389,60425.445,16.48,1.579,161.4,1057.516,1.1300261007532988,0.04589919761212216
Austria,AUT,1992,7842667,221400875008,237.503,100.955,70.172,29.828,43963.629,-4.608,-1.319,49.89,338.45799999999997,1.1032361628487393,0.42506831492654834
Azerbaijan,AZE,1992,7405734,41795293184,209.227,4.854,97.733,2.267,28949.705,-35.957,-14.363,19.763,214.08100000000002,1.2505839617744126,0.0231996826413417
Bangladesh,BGD,1992,115952146,123425136640,75.357,2.211,97.149,2.851,670.195,6.456,9.06,8.894,77.568,1.9027479090000257,0.02934033998168717
Belarus,BLR,1992,10217518,101880791040,404.903,0.047,99.988,0.012,39633.227,-59.953,-12.896,37.595,404.95000000000005,0.23230703021835647,1.1607718391812359e-4
Belgium,BEL,1992,10045947,283358330880,516.315,1.807,80.822,0.283,63857.523,-1.371,-0.213,71.42,518.1220000000001,0.47043132405745464,0.0034998014777800368
Brazil,BRA,1992,154275022,1221828542464,897.353,709.402,55.679,44.017,10708.821,28.062,1.728,241.762,1606.755,1.6812202224504667,0.7905495384759399
Bulgaria,BGR,1992,8559045,67935670272,208.685,5.286,84.811,2.148,28868.99,-15.507,-5.905,35.44,213.971,-1.5720671758197227,0.02533004288760572
Canada,CAN,1992,28500013,829742120960,1928.26,889.608,63.426,29.262,108832.422,80.897,2.678,518.627,2817.868,1.2178418632825307,0.4613527221432794
Chile,CHL,1992,13884526,160277250048,139.13,51.947,72.813,27.187,13986.36,19.23,10.991,22.35,191.077,1.6255668645865005,0.37337022928196656
China,CHN,1992,1184574195,3755037425664,8386.551,363.743,95.843,4.157,7406.634,436.098,5.23,753.94,8750.294,1.177472636921169,0.04337218005351664
Colombia,COL,1992,33760526,270562869248,201.537,62.953,76.198,23.802,7953.25,9.337,3.603,36.613,264.49,2.0007023315710186,0.312364478979046
Croatia,HRV,1992,4782191,41906544640,67.644,12.1,84.827,15.173,16838.197,-3.266,-3.898,8.9,79.744,-0.8895337559003812,0.17887765359824964
Cyprus,CYP,1992,810293,11948250112,22.797,0,100,0,28133.871,3.285,16.833,2.43,22.797,1.425704997978478,0
Czechia,CZE,1992,10312408,131496648704,444.054,3.914,92.128,0.812,46834.785,-14.66,-2.946,59.05,447.96799999999996,0.07807372469312271,0.008814243312750252
Denmark,DNK,1992,5171320,158125309952,213.685,4.248,98.051,1.949,42182.035,-14.717,-6.32,30.6,217.933,0.33028758922654033,0.019879729508388518
Ecuador,ECU,1992,10930078,70873841664,74.273,13.816,84.316,15.684,8140.784,-0.459,-0.514,7.196,88.089,2.128156186006842,0.18601645281596274
Egypt,EGY,1992,61480607,254191042560,363.648,27.222,93.035,6.965,6386.177,-3.807,-0.96,44.987,390.87,2.4182649344446285,0.0748581045406547
Estonia,EST,1992,1540174,20201099264,81.29,0,100,0,52779.707,-35.46,-30.373,11.83,81.29,-1.6072618414101025,0
Finland,FIN,1992,5042099,122116751360,214.544,57.44,65.915,17.648,65384.504,-1.083,-0.327,57.7,271.98400000000004,0.5635797857212095,0.26773062868222836
France,FRA,1992,57554812,1681416912896,1686.806,198.291,59.705,7.019,49655.984,23.765,0.839,458.54,1885.097,0.49466479930422647,0.11755412299932534
Germany,DEU,1992,80934859,2204952428544,3497.78,57.466,87.524,1.438,49537.836,-81.305,-1.988,533.77,3555.246,0.7866653586232031,0.016429277999188054
